doctor_id,name,specialization,level,max_patients_per_day,experience_years,shift_start,shift_end,department
D001,Dr. Lloyd,Orthopedics,Senior,15,13,10:00,16:00,Derma-1
D002,Dr. Martinez,Cardiology,Senior,6,14,10:00,15:00,Ortho-1
D003,Dr. House,Neurology,Junior,13,10,08:00,17:00,Cardio-1
D004,Dr. Williamson,Orthopedics,Senior,7,13,08:00,19:00,Cardio-1
D005,Dr. Smith,Cardiology,Junior,9,19,08:00,16:00,Neuro-1
D006,Dr. Shah,Orthopedics,Senior,12,25,09:00,16:00,Cardio-1
D007,Dr. Smith,Pediatrics,Junior,6,5,09:00,20:00,Pedia-1
D008,Dr. Jacobs,Pediatrics,Junior,13,3,07:00,19:00,Cardio-1
D009,Dr. Hawkins,Oncology,Senior,15,16,09:00,15:00,Ortho-1
D010,Dr. Schwartz,Oncology,Junior,8,12,10:00,17:00,Onco-1
D011,Dr. Solomon,Orthopedics,Senior,7,10,08:00,17:00,Pedia-1
D012,Dr. Stout,Cardiology,Senior,9,5,07:00,18:00,Cardio-1
D013,Dr. Arroyo,Oncology,Senior,14,5,07:00,15:00,Derma-1
D014,Dr. White,Cardiology,Senior,10,1,08:00,16:00,Pedia-1
D015,Dr. Woods,Cardiology,Junior,13,3,07:00,20:00,Ortho-1
D016,Dr. Hansen,Dermatology,Senior,7,16,08:00,17:00,Neuro-1
D017,Dr. Ferguson,Oncology,Junior,13,14,07:00,19:00,Ortho-1
D018,Dr. Tate,Pediatrics,Junior,9,12,10:00,17:00,Pedia-1
D019,Dr. Miller,Oncology,Junior,7,12,09:00,19:00,Onco-1
D020,Dr. Hale,Oncology,Junior,12,15,09:00,18:00,Onco-1
D021,Dr. Rivera,Oncology,Senior,13,8,09:00,17:00,Ortho-1
D022,Dr. Bullock,Dermatology,Junior,9,1,10:00,17:00,Derma-1
D023,Dr. Moore,Pediatrics,Junior,13,12,09:00,17:00,Cardio-1
D024,Dr. Hall,Oncology,Senior,8,2,08:00,16:00,Ortho-1
D025,Dr. Ferguson,Dermatology,Senior,9,21,10:00,19:00,Ortho-1
D026,Dr. Franco,Oncology,Senior,7,25,07:00,15:00,Cardio-1
D027,Dr. Wolf,Orthopedics,Senior,9,24,10:00,17:00,Derma-1
D028,Dr. Gonzalez,Pediatrics,Junior,12,3,09:00,16:00,Derma-1
D029,Dr. Wolf,Orthopedics,Senior,9,14,09:00,20:00,Onco-1
D030,Dr. Chambers,Dermatology,Junior,7,5,07:00,19:00,Ortho-1
D031,Dr. Krause,Neurology,Junior,15,22,08:00,17:00,Cardio-1
D032,Dr. King,Neurology,Senior,11,14,07:00,20:00,Neuro-1
D033,Dr. Barron,Orthopedics,Junior,12,2,07:00,20:00,Onco-1
D034,Dr. Webb,Oncology,Junior,14,16,09:00,16:00,Neuro-1
D035,Dr. Lynch,Orthopedics,Junior,6,19,09:00,20:00,Derma-1
D036,Dr. Anderson,Dermatology,Junior,6,8,09:00,16:00,Derma-1
D037,Dr. Gilbert,Orthopedics,Junior,10,1,10:00,18:00,Cardio-1
D038,Dr. Cooper,Oncology,Junior,13,16,08:00,19:00,Pedia-1
D039,Dr. Sanchez,Neurology,Junior,13,3,09:00,18:00,Cardio-1
D040,Dr. Pugh,Dermatology,Senior,13,11,10:00,16:00,Cardio-1
D041,Dr. Yoder,Orthopedics,Junior,10,4,10:00,20:00,Neuro-1
D042,Dr. Little,Oncology,Junior,11,1,09:00,20:00,Pedia-1
D043,Dr. Molina,Pediatrics,Senior,14,3,09:00,19:00,Cardio-1
D044,Dr. James,Cardiology,Junior,15,14,07:00,20:00,Onco-1
D045,Dr. Jordan,Pediatrics,Junior,9,23,08:00,17:00,Cardio-1
D046,Dr. Clark,Cardiology,Senior,8,14,10:00,15:00,Neuro-1
D047,Dr. Jones,Oncology,Junior,8,10,10:00,20:00,Neuro-1
D048,Dr. Braun,Orthopedics,Senior,8,7,10:00,20:00,Derma-1
D049,Dr. Salinas,Orthopedics,Junior,15,21,07:00,15:00,Neuro-1
D050,Dr. Green,Dermatology,Senior,15,24,10:00,15:00,Derma-1
